3/10/2014 5:07:19 PM: 	RKWI8
3/10/2014 5:07:21 PM: 	-45
3/10/2014 5:07:23 PM: 	-51
3/10/2014 5:07:25 PM: 	-51
3/10/2014 5:07:27 PM: 	-51
3/10/2014 5:07:29 PM: 	-45
3/10/2014 5:07:31 PM: 	-43
3/10/2014 5:07:33 PM: 	-43
3/10/2014 5:07:35 PM: 	-43
3/10/2014 5:07:37 PM: 	-39
3/10/2014 5:07:39 PM: 	-39
3/10/2014 5:07:41 PM: 	-37
3/10/2014 5:07:43 PM: 	-41
3/10/2014 5:07:45 PM: 	-41
3/10/2014 5:07:47 PM: 	-45
3/10/2014 5:07:49 PM: 	-43
3/10/2014 5:07:51 PM: 	-41
3/10/2014 5:07:53 PM: 	-39
3/10/2014 5:07:55 PM: 	-39
3/10/2014 5:07:57 PM: 	-37
3/10/2014 5:07:59 PM: 	-37
3/10/2014 5:08:01 PM: 	-37
3/10/2014 5:08:03 PM: 	-37
3/10/2014 5:08:05 PM: 	-39
3/10/2014 5:08:07 PM: 	-39
3/10/2014 5:08:09 PM: 	-43
3/10/2014 5:08:11 PM: 	-43
3/10/2014 5:08:13 PM: 	-45
3/10/2014 5:08:15 PM: 	-43
3/10/2014 5:08:17 PM: 	-41
3/10/2014 5:08:19 PM: 	-39
3/10/2014 5:08:21 PM: 	-39
3/10/2014 5:08:23 PM: 	-39
3/10/2014 5:08:25 PM: 	-39
3/10/2014 5:08:27 PM: 	-43
3/10/2014 5:08:29 PM: 	-47
3/10/2014 5:08:31 PM: 	-51
3/10/2014 5:08:33 PM: 	-53
3/10/2014 5:08:35 PM: 	-43
3/10/2014 5:08:37 PM: 	-49
3/10/2014 5:08:39 PM: 	-49
3/10/2014 5:08:41 PM: 	-45
3/10/2014 5:08:43 PM: 	-47
